"preset","siteId","service","kind","requestedHostname","currentHostname","browserStatus","visualNote","readyState","bodyTextLength","imageCount","completeImageCount","resourceCount","failedResourceCount","mainStatus","mainProtocol","mainTtfbMs","protocols","rootRoute","rootDns","rootMatchedRule","rootMatchedRuleSet","routeDecisions","dnsDecisions","ipFamilies","generationCount","mixedRouting","captureId"
"russia","rzd","RZD","mandatory","www.rzd.ru","www.rzd.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2871","11","11","75","1","200","http/1.1","368.88","http/1.1|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074141Z-1ebf2289"
"russia","aeroflot","Aeroflot","mandatory","www.aeroflot.ru","www.aeroflot.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1583","7","6","98","12","503","h2","231.7","h2|UNKNOWN|websocket","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074154Z-5a4015a3"
"russia","hh","HH","mandatory","hh.ru","penza.hh.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4955","38","30","154","16","302","h2","111.24","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT|REMOTE","IPv4","1","NO","20260731T074205Z-887cd523"
"russia","ria","RIA","mandatory","ria.ru","ria.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6088","44","40","220","19","200","h2","116.39","h2|UNKNOWN|http/1.1|websocket","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074221Z-d8fb7cd2"
"russia","lenta","Lenta","mandatory","lenta.ru","lenta.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1561","108","6","226","37","200","h2","88.98","h2|http/1.1|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T074236Z-116aca8b"
"russia","ru_public_exit","RU public exit","diagnostic","2ip.ru","2ip.ru","PASS","Diagnostic page visually loaded with privacy redaction","complete","1398","3","3","29","6","200","h2","304.63","h2|UNKNOWN|h3","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T102530Z-fac6dfaf"
"russia","global_public_exit","Global public exit","diagnostic","ipinfo.io","ipinfo.io","PASS","Diagnostic page visually loaded with privacy redaction","complete","6962","30","7","27","5","200","h2","5.86","h2|UNKNOWN","VPN","REMOTE","final","","VPN","REMOTE","IPv4|IPv6","1","NO","20260731T102546Z-23663933"
"russia","ipv6","IPv6","diagnostic","test-ipv6.com","test-ipv6.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","1000","7","7","23","13","200","http/1.1","6.12","http/1.1|UNKNOWN","VPN","REMOTE","final","","VPN","REMOTE","IPv4|IPv6","1","NO","20260731T102604Z-194159ed"
"russia","dns_region","DNS region","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","3663","90","90","60","0","200","h2","835.39","h2|http/1.1","VPN","REMOTE","final","","VPN","REMOTE","IPv4","1","NO","20260731T102618Z-8cdc17ed"
"russia","webrtc","WebRTC","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","936","4","4","11","1","200","h2","575.82","h2|UNKNOWN","VPN","REMOTE","final","","VPN","REMOTE","IPv4","1","NO","20260731T102634Z-3087449f"
"russia","browser_consistency","Timezone and language","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","5567","0","0","9","0","200","h2","575.72","h2","VPN","REMOTE","final","","VPN","REMOTE","IPv4","1","NO","20260731T102649Z-5d18295c"
